ID,Title,Assigned Dev,Dev Comments ,Automable,Section,Estimate,Expected Result,Preconditions,Section Hierarchy,Steps
T91130467,Session Reminder,,,Y,Session Reminder,30s,"1. Ensure that the Current Session Duration is displayed
2. Ensure the reminder displays and the player can click/tap ""Continue"" on the dialog box.
3. Ensure the reminder displays and the player can click/tap ""Exit Game"" on the dialog box.

Example of the Titan Session Reminder
==========================
![](index.php?/attachments/get/1582713)","1. You have allocated the session reminder to a created UK account in Axiom by doing the following: 
- Create a UK user account in Axiom
- Locate the created UK user account 
- Select ""Options"" 
- Select ""SET SESSION REMINDER"" 
- Enter the period value in seconds 
- Select ""SET""",Market X - UK [10 Mins] > Session Reminder,"1. Launch the game
2. Play out your game until you have played for the session reminder period set out (refresh the game if it does not immediately reflect)"
T91130468,Ensure that session reminders pop up in game,,,Y,Session Reminder, ,"1. The session reminder should pop up in game and you should not be able to interact with any part of the game. Full focus must be given to the session reminder.

Example of the Titan Session Reminder
==========================
![](index.php?/attachments/get/1582739)","1. You have allocated the session reminder to a created UK account in Axiom by doing the following:
- Create a UK user account in Axiom
- Locate the created UK user account
- Select ""Options""
- Select ""SET SESSION REMINDER""
- Enter the period value in seconds
- Select ""SET""",Market X - UK [10 Mins] > Session Reminder,"1. Launch the game
2. Play out your game until you have played for the session reminder period set out (refresh the game if it does not immediately reflect)"
T91130469,Ensure that the continue button takes you back to the game,,,Y,Session Reminder,30s,"1. Ensure that the continue button takes you back to the game

Example of the Titan Session Reminder
==========================
![](index.php?/attachments/get/1582834)","1. You have allocated the session reminder to a created UK account in Axiom by doing the following:
- Create a UK user account in Axiom
- Locate the created UK user account
- Select ""Options""
- Select ""SET SESSION REMINDER""
- Enter the period value in seconds
- Select ""SET""",Market X - UK [10 Mins] > Session Reminder,"1. Launch the game
2. Play out your game until you have played for the session reminder period set out (refresh the game if it does not immediately reflect)"
T91130470,Ensure that the Exit Game button takes you to the lobby,,,Y,Session Reminder,30s,"1. Ensure that the Exit Game button takes you to the lobby and you are logged out from the casino

Example of the Titan Session Reminder
==========================
![](index.php?/attachments/get/1582858)","1. You have allocated the session reminder to a created UK account in Axiom by doing the following:
- Create a UK user account in Axiom
- Locate the created UK user account
- Select ""Options""
- Select ""SET SESSION REMINDER""
- Enter the period value in seconds
- Select ""SET""",Market X - UK [10 Mins] > Session Reminder,"1. Launch the game
2. Play out your game until you have played for the session reminder period set out (refresh the game if it does not immediately reflect)"
T91130471,"Ensure that when the session reminder pops up, the game does not continue in the background",,,Y,Session Reminder,60s,"1. Ensure that when the session reminder pops up, the game does not continue in the background.
2. The session reminder should pop up in game and you should not be able to interact with any part of the game. Full focus must be given to the session reminder.

Example of the Titan Session Reminder
==========================
![](index.php?/attachments/get/1582859)","1. You have allocated the session reminder to a created UK account in Axiom by doing the following:
- Create a UK user account in Axiom
- Locate the created UK user account
- Select ""Options""
- Select ""SET SESSION REMINDER""
- Enter the period value in seconds
- Select ""SET""",Market X - UK [10 Mins] > Session Reminder,"1. Launch the game
2. Play out your game until you have played for the session reminder period set out (refresh the game if it does not immediately reflect)"
T91130472,"Ensure that when the session reminder pops up, the free spins game does not malfunction",,Malfunction many scenarios,Y,Session Reminder,60s,"1. If the session reminder pops up the Free spins game does not Malfunction - Take note of acceptable behavior below
2. If the session reminder should pop up in game; you should not be able to interact with any part of the game. Full focus must be given to the session reminder.
3. If the session reminder does not pop up during freespins ensure that it does pop up as soon as the feature is complete and the player is unable to make any new bets until the session reminder is acknowledged

The following behavior is acceptable when the session reminder is displayed during Freespins:
- The session reminder may display during/after freespins (Since the Freespins is part of the bet that was placed before the session reminder displays it may continue without breaking regulations)
- Reels may spin without resolving until the session reminder is acknowledged
- Freespins may Continue/Pause when the session reminder displays

Example of the Titan Session Reminder
==========================
![](index.php?/attachments/get/1582859)","1. You have allocated the session reminder to a created UK account in Axiom by doing the following:
- Create a UK user account in Axiom
- Locate the created UK user account
- Select ""Options""
- Select ""SET SESSION REMINDER""
- Enter the period value in seconds
- Select ""SET""",Market X - UK [10 Mins] > Session Reminder,"1. Launch the game
2. Trigger Free Spins
3. Play out your game until you have played for the session reminder period set out (refresh the game if it does not immediately reflect)"
T91130473,"Ensure that when the session reminder pops up, the Bonus game does not malfunction",,Bonus game precondition required,Y,Session Reminder,60s,"1. If the session reminder pops up the Bonus game does not Malfunction - Take note of acceptable behavior below
2. If the session reminder should pop up in game; you should not be able to interact with any part of the game. Full focus must be given to the session reminder.
3. If the session reminder does not pop up during Bonus ensure that it does pop up as soon as the feature is complete and the player is unable to make any new bets until the session reminder is acknowledged
The following behavior is acceptable when the session reminder is displayed during Bonus:
- The session reminder may display during/after bonus (Since the bonus is part of the bet that was placed before the session reminder displays it may continue without breaking regulations)
- Bonus may Continue/Pause when the session reminder displays - This is applicable in Auto Pick/ Autoplay scenarios in the bonus feature

Example of the Titan Session Reminder
==========================
![](index.php?/attachments/get/1582859)","1. You have allocated the session reminder to a created UK account in Axiom by doing the following:
- Create a UK user account in Axiom
- Locate the created UK user account
- Select ""Options""
- Select ""SET SESSION REMINDER""
- Enter the period value in seconds
- Select ""SET""",Market X - UK [10 Mins] > Session Reminder,"1. Launch the game
2. Trigger the Bonus Feature
3. Play out your game until you have played for the session reminder period set out (refresh the game if it does not immediately reflect)"
T91130557,In-Game Playcheck Icon,,,Y,General (UK), ,"1. Value add is on the top left corner
2. Clicking on the Value Add directs you to playcheck",1. Playcheck value add has been enabled on the environment,Market X - Playcheck Regulations [60 Mins] ? > General (UK),"1. Launch the Game you are testing
2. Verify that the value add is there
3. Click on the Value add
4. See expected results"
T91130558,Ensure the game name Matches in-game Name displayed,,,Y,General (UK), ,"- Ensure that the game name is consistent across all off the above.
- Ensure that if there is a trademark required , this is visible.
- Ensure that there are no additional spaces or formatting across all the above

Below is an example of an inconsistency:
- Sidewinder VS Side Winder
- Wicked Tales : Dark Red vs Wicked Tales - Dark Red", ,Market X - Playcheck Regulations [60 Mins] ? > General (UK),"1. Open the game and Playcheck side by side
2. Observe the game name in game and compare to Playcheck (every page)
3. Observe expected results."
T91130559,The correct transaction appears,,Playcheck required,Y,General (UK), ,"1. Ensure the win values and reel images display
2. Ensure the losses are documented and the reel images display","1. Spin and win in the client
2. Spin and lose in the client",Market X - Playcheck Regulations [60 Mins] ? > General (UK),"1. Launch PlayCheck
2. Take note of how wins are displayed
3. See expected result 1
4. Take note of how the losses  display
5. See expected result 2"
T91130560,Ensure all win amounts are displayed with the currency symbol in Playcheck,,Playcheck required,Y,General (UK), ,1. Ensure the Currency Symbol (Euro) is displayed,1. Spin and Win in the client,Market X - Playcheck Regulations [60 Mins] ? > General (UK),"1. Launch PlayCheck
2. Take note of how wins are displayed"
T91130668,Helpfile Disclaimers,,,Y,UK, ,"1. Ensure that there is a disclaimer that makes mention that some settings or features may not be available in the game

2. In accordance with UK RTS requirement 7D, the follow line should be added to game Helpfiles:
- **""Any changes to game rules will be conducted in accordance with regulatory requirements.""**



Note: See CoE functional update fun21.8.0 https://confluence.gamesglobal.com/display/GCOM/2021+-+Functional+Updates
- Mandatory: New games as Of April 2021 should accommodate the update in Additional Information
- Optional: Existing game Helpfiles are not specifically a requirement, but it is suggested that teams make this update in Additional Information to ensure full game compliance.",1. Ensure you have help files for the game open,Market X - Helpfile Regulations [45 Mins] ? > UK,"1. Launch the help files for the game
2. Navigate to the general section of the help files for that game (Additional Information for New Games/ Things to note about game features for Old Games)
- Things to note about game features is situated at the top of Flash, Download and Landbased helpfile Table of Contents"
